,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Week 1,11/5/24 4:45 PM,,% Correctly Sorted,,Week 2,11/13/24 4:30 PM,,% Correctly sorted,,Week 3,Date: 11/19/24 4:30pm,,% Correctly Sorted,,Week 4,Date: 11/26/24 4:40pm,,% Correctly sorted,,,,
,,Trash,Recycling,Compost,Average,,Trash,Recycling,Compost,Average,,Trash,Recycling,Compost,Average,,Trash,Recycling,Compost,Average,,,Combined averages
,Turck 1,90,65,100,85,Turck 1,75,95,95,88.33,Turck 1,80,95,100,91.67,Turck 1,95,65,80,80.00,,Turck 1,86.25
,Turck 2,85,95,72.5,84,Turck 2,77.5,95,80,84.17,Turck 2,70,90,60,73.33,Turck 2,95,90,80,88.33,,Turck 2,82.50
,Turck 3,92.5,60,65,73,Turck 3,45,100,100,81.67,Turck 3,60,85,95,80.00,Turck 3,70,92.5,92.5,85.00,,Turck 3,79.79
,Turck 4,87.5,95,100,94,Turck 4,87.5,70,70,75.83,Turck 4,85,97.5,100,94.17,Turck 4,92.5,97.5,100,96.67,,Turck 4,90.21
,Doty 1,80,30,35,48,Doty 1,80,55,100,78.33,Doty 1,75,42.5,67.5,61.67,Doty 1,90,75,100,88.33,,Doty 1,69.17
,Doty 2,90,100,75,88,Doty 2,95,60,62.5,72.50,Doty 2,50,70,90,70.00,Doty 2,97.5,97.5,72.5,89.17,,Doty 2,80.00
,Doty 3,60,100,75,78,Doty 3,70,97.5,100,89.17,Doty 3,80,100,60,80.00,Doty 3,87.5,92.5,85,88.33,,Doty 3,83.96
,Doty 4,100,60,87.5,83,Doty 4,62.5,60,100,74.17,Doty 4,72.5,100,100,90.83,Doty 4,52.5,95,95,80.83,,Doty 4,82.08
,Doty 5,77.5,100,100,93,Doty 5,60,87.5,70,72.50,Doty 5,35,100,90,75.00,Doty 5,100,92.5,75,89.17,,Doty 5,82.29
,Dupre 2,95,90,82.5,89,Dupre 2,40,100,100,80.00,Dupre 2,75,60,100,78.33,Dupre 2,95,95,100,96.67,,Dupre 2,86.04
,Dupre 3,67.5,90,100,86,Dupre 3,90,80,80,83.33,Dupre 3,90,100,100,96.67,Dupre 3,100,85,70,85.00,,Dupre 3,87.71
,Dupre 4,75,100,75,83,Dupre 4,100,82.5,50,77.50,Dupre 4,100,20,67.5,62.50,Dupre 4,100,75,100,91.67,,Dupre 4,78.75
,Dupre 5,65,85,30,60,Dupre 5,100,75,87.5,87.50,Dupre 5,62.5,97.5,100,86.67,Dupre 5,57.5,62.5,100,73.33,,Dupre 5,76.88
,Eco+Lang Houses,87.73,61.25,86.67,79,Eco/Lang Houses,90,40,92.5,74.17,Eco/Lang Houses,67.22,83.13,100,76.11,Eco/Lang Houses,90,81,95,88.67,,Eco/Lang Houses,79.37
,,,,,,,,,,,,,,,,,,,,,,,
Analysis:,,,,,,,,,,,,,,,,,,,,,,,
