Date,Trash,Recycle,Organics,Barthhold (Pig) Farm,E-waste
January 2024,880,6930,3463,15600,21.5
February 2024,6161,14082,6500,23400,11
March 2024,4741,11495,4720,23100,58.5
April 2024,6900,15571,5920,19800,147
May 2024,5540,5839,2126,18450,56
June 2024,1662,838,647,10200,126
July 2024,,332,450,6300,57
August 2024,1620,3504,450,14100,83
September 2024,1140,9020,3180,23100,
October 2024,7860,9400,7720,22800,
November 2024,9220,5380,5420,19500,
December 2024,6160,3000,16270,11850,
January 2025,420,3720,2140,10200,
February 2025,4240,4640,5500,21600,
March 2025,8980,6240,5580,18900,
April 2025,9960,5800,8800,21900,
