Dorm,Week,Date,Category,PercentCorrect
Turck 1,Week 1,11/5/24 4:45 PM,Trash,90.0
Turck 1,Week 1,11/5/24 4:45 PM,Recycling,65.0
Turck 1,Week 1,11/5/24 4:45 PM,Compost,100.0
Turck 2,Week 1,11/5/24 4:45 PM,Trash,85.0
Turck 2,Week 1,11/5/24 4:45 PM,Recycling,95.0
Turck 2,Week 1,11/5/24 4:45 PM,Compost,72.5
Turck 3,Week 1,11/5/24 4:45 PM,Trash,92.5
Turck 3,Week 1,11/5/24 4:45 PM,Recycling,60.0
Turck 3,Week 1,11/5/24 4:45 PM,Compost,65.0
Turck 4,Week 1,11/5/24 4:45 PM,Trash,87.5
Turck 4,Week 1,11/5/24 4:45 PM,Recycling,95.0
Turck 4,Week 1,11/5/24 4:45 PM,Compost,100.0
Doty 1,Week 1,11/5/24 4:45 PM,Trash,80.0
Doty 1,Week 1,11/5/24 4:45 PM,Recycling,30.0
Doty 1,Week 1,11/5/24 4:45 PM,Compost,35.0
Doty 2,Week 1,11/5/24 4:45 PM,Trash,90.0
Doty 2,Week 1,11/5/24 4:45 PM,Recycling,100.0
Doty 2,Week 1,11/5/24 4:45 PM,Compost,75.0
Doty 3,Week 1,11/5/24 4:45 PM,Trash,60.0
Doty 3,Week 1,11/5/24 4:45 PM,Recycling,100.0
Doty 3,Week 1,11/5/24 4:45 PM,Compost,75.0
Doty 4,Week 1,11/5/24 4:45 PM,Trash,100.0
Doty 4,Week 1,11/5/24 4:45 PM,Recycling,60.0
Doty 4,Week 1,11/5/24 4:45 PM,Compost,87.5
Doty 5,Week 1,11/5/24 4:45 PM,Trash,77.5
Doty 5,Week 1,11/5/24 4:45 PM,Recycling,100.0
Doty 5,Week 1,11/5/24 4:45 PM,Compost,100.0
Dupre 2,Week 1,11/5/24 4:45 PM,Trash,95.0
Dupre 2,Week 1,11/5/24 4:45 PM,Recycling,90.0
Dupre 2,Week 1,11/5/24 4:45 PM,Compost,82.5
Dupre 3,Week 1,11/5/24 4:45 PM,Trash,67.5
Dupre 3,Week 1,11/5/24 4:45 PM,Recycling,90.0
Dupre 3,Week 1,11/5/24 4:45 PM,Compost,100.0
Dupre 4,Week 1,11/5/24 4:45 PM,Trash,75.0
Dupre 4,Week 1,11/5/24 4:45 PM,Recycling,100.0
Dupre 4,Week 1,11/5/24 4:45 PM,Compost,75.0
Dupre 5,Week 1,11/5/24 4:45 PM,Trash,65.0
Dupre 5,Week 1,11/5/24 4:45 PM,Recycling,85.0
Dupre 5,Week 1,11/5/24 4:45 PM,Compost,30.0
Eco/Lang Houses,Week 1,11/5/24 4:45 PM,Trash,87.73
Eco/Lang Houses,Week 1,11/5/24 4:45 PM,Recycling,61.25
Eco/Lang Houses,Week 1,11/5/24 4:45 PM,Compost,86.67
Turck 1,Week 2,11/13/24 4:30 PM,Trash,75.0
Turck 1,Week 2,11/13/24 4:30 PM,Recycling,95.0
Turck 1,Week 2,11/13/24 4:30 PM,Compost,95.0
Turck 2,Week 2,11/13/24 4:30 PM,Trash,77.5
Turck 2,Week 2,11/13/24 4:30 PM,Recycling,95.0
Turck 2,Week 2,11/13/24 4:30 PM,Compost,80.0
Turck 3,Week 2,11/13/24 4:30 PM,Trash,45.0
Turck 3,Week 2,11/13/24 4:30 PM,Recycling,100.0
Turck 3,Week 2,11/13/24 4:30 PM,Compost,100.0
Turck 4,Week 2,11/13/24 4:30 PM,Trash,87.5
Turck 4,Week 2,11/13/24 4:30 PM,Recycling,70.0
Turck 4,Week 2,11/13/24 4:30 PM,Compost,70.0
Doty 1,Week 2,11/13/24 4:30 PM,Trash,80.0
Doty 1,Week 2,11/13/24 4:30 PM,Recycling,55.0
Doty 1,Week 2,11/13/24 4:30 PM,Compost,100.0
Doty 2,Week 2,11/13/24 4:30 PM,Trash,95.0
Doty 2,Week 2,11/13/24 4:30 PM,Recycling,60.0
Doty 2,Week 2,11/13/24 4:30 PM,Compost,62.5
Doty 3,Week 2,11/13/24 4:30 PM,Trash,70.0
Doty 3,Week 2,11/13/24 4:30 PM,Recycling,97.5
Doty 3,Week 2,11/13/24 4:30 PM,Compost,100.0
Doty 4,Week 2,11/13/24 4:30 PM,Trash,62.5
Doty 4,Week 2,11/13/24 4:30 PM,Recycling,60.0
Doty 4,Week 2,11/13/24 4:30 PM,Compost,100.0
Doty 5,Week 2,11/13/24 4:30 PM,Trash,60.0
Doty 5,Week 2,11/13/24 4:30 PM,Recycling,87.5
Doty 5,Week 2,11/13/24 4:30 PM,Compost,70.0
Dupre 2,Week 2,11/13/24 4:30 PM,Trash,40.0
Dupre 2,Week 2,11/13/24 4:30 PM,Recycling,100.0
Dupre 2,Week 2,11/13/24 4:30 PM,Compost,100.0
Dupre 3,Week 2,11/13/24 4:30 PM,Trash,90.0
Dupre 3,Week 2,11/13/24 4:30 PM,Recycling,80.0
Dupre 3,Week 2,11/13/24 4:30 PM,Compost,80.0
Dupre 4,Week 2,11/13/24 4:30 PM,Trash,100.0
Dupre 4,Week 2,11/13/24 4:30 PM,Recycling,82.5
Dupre 4,Week 2,11/13/24 4:30 PM,Compost,50.0
Dupre 5,Week 2,11/13/24 4:30 PM,Trash,100.0
Dupre 5,Week 2,11/13/24 4:30 PM,Recycling,75.0
Dupre 5,Week 2,11/13/24 4:30 PM,Compost,87.5
Eco/Lang Houses,Week 2,11/13/24 4:30 PM,Trash,90.0
Eco/Lang Houses,Week 2,11/13/24 4:30 PM,Recycling,40.0
Eco/Lang Houses,Week 2,11/13/24 4:30 PM,Compost,92.5
Turck 1,Week 3,Date: 11/19/24 4:30pm,Trash,80.0
Turck 1,Week 3,Date: 11/19/24 4:30pm,Recycling,95.0
Turck 1,Week 3,Date: 11/19/24 4:30pm,Compost,100.0
Turck 2,Week 3,Date: 11/19/24 4:30pm,Trash,70.0
Turck 2,Week 3,Date: 11/19/24 4:30pm,Recycling,90.0
Turck 2,Week 3,Date: 11/19/24 4:30pm,Compost,60.0
Turck 3,Week 3,Date: 11/19/24 4:30pm,Trash,60.0
Turck 3,Week 3,Date: 11/19/24 4:30pm,Recycling,85.0
Turck 3,Week 3,Date: 11/19/24 4:30pm,Compost,95.0
Turck 4,Week 3,Date: 11/19/24 4:30pm,Trash,85.0
Turck 4,Week 3,Date: 11/19/24 4:30pm,Recycling,97.5
Turck 4,Week 3,Date: 11/19/24 4:30pm,Compost,100.0
Doty 1,Week 3,Date: 11/19/24 4:30pm,Trash,75.0
Doty 1,Week 3,Date: 11/19/24 4:30pm,Recycling,42.5
Doty 1,Week 3,Date: 11/19/24 4:30pm,Compost,67.5
Doty 2,Week 3,Date: 11/19/24 4:30pm,Trash,50.0
Doty 2,Week 3,Date: 11/19/24 4:30pm,Recycling,70.0
Doty 2,Week 3,Date: 11/19/24 4:30pm,Compost,90.0
Doty 3,Week 3,Date: 11/19/24 4:30pm,Trash,80.0
Doty 3,Week 3,Date: 11/19/24 4:30pm,Recycling,100.0
Doty 3,Week 3,Date: 11/19/24 4:30pm,Compost,60.0
Doty 4,Week 3,Date: 11/19/24 4:30pm,Trash,72.5
Doty 4,Week 3,Date: 11/19/24 4:30pm,Recycling,100.0
Doty 4,Week 3,Date: 11/19/24 4:30pm,Compost,100.0
Doty 5,Week 3,Date: 11/19/24 4:30pm,Trash,35.0
Doty 5,Week 3,Date: 11/19/24 4:30pm,Recycling,100.0
Doty 5,Week 3,Date: 11/19/24 4:30pm,Compost,90.0
Dupre 2,Week 3,Date: 11/19/24 4:30pm,Trash,75.0
Dupre 2,Week 3,Date: 11/19/24 4:30pm,Recycling,60.0
Dupre 2,Week 3,Date: 11/19/24 4:30pm,Compost,100.0
Dupre 3,Week 3,Date: 11/19/24 4:30pm,Trash,90.0
Dupre 3,Week 3,Date: 11/19/24 4:30pm,Recycling,100.0
Dupre 3,Week 3,Date: 11/19/24 4:30pm,Compost,100.0
Dupre 4,Week 3,Date: 11/19/24 4:30pm,Trash,100.0
Dupre 4,Week 3,Date: 11/19/24 4:30pm,Recycling,20.0
Dupre 4,Week 3,Date: 11/19/24 4:30pm,Compost,67.5
Dupre 5,Week 3,Date: 11/19/24 4:30pm,Trash,62.5
Dupre 5,Week 3,Date: 11/19/24 4:30pm,Recycling,97.5
Dupre 5,Week 3,Date: 11/19/24 4:30pm,Compost,100.0
Eco/Lang Houses,Week 3,Date: 11/19/24 4:30pm,Trash,67.22
Eco/Lang Houses,Week 3,Date: 11/19/24 4:30pm,Recycling,83.13
Eco/Lang Houses,Week 3,Date: 11/19/24 4:30pm,Compost,100.0
Turck 1,Week 4,Date: 11/26/24 4:40pm,Trash,95.0
Turck 1,Week 4,Date: 11/26/24 4:40pm,Recycling,65.0
Turck 1,Week 4,Date: 11/26/24 4:40pm,Compost,80.0
Turck 2,Week 4,Date: 11/26/24 4:40pm,Trash,95.0
Turck 2,Week 4,Date: 11/26/24 4:40pm,Recycling,90.0
Turck 2,Week 4,Date: 11/26/24 4:40pm,Compost,80.0
Turck 3,Week 4,Date: 11/26/24 4:40pm,Trash,70.0
Turck 3,Week 4,Date: 11/26/24 4:40pm,Recycling,92.5
Turck 3,Week 4,Date: 11/26/24 4:40pm,Compost,92.5
Turck 4,Week 4,Date: 11/26/24 4:40pm,Trash,92.5
Turck 4,Week 4,Date: 11/26/24 4:40pm,Recycling,97.5
Turck 4,Week 4,Date: 11/26/24 4:40pm,Compost,100.0
Doty 1,Week 4,Date: 11/26/24 4:40pm,Trash,90.0
Doty 1,Week 4,Date: 11/26/24 4:40pm,Recycling,75.0
Doty 1,Week 4,Date: 11/26/24 4:40pm,Compost,100.0
Doty 2,Week 4,Date: 11/26/24 4:40pm,Trash,97.5
Doty 2,Week 4,Date: 11/26/24 4:40pm,Recycling,97.5
Doty 2,Week 4,Date: 11/26/24 4:40pm,Compost,72.5
Doty 3,Week 4,Date: 11/26/24 4:40pm,Trash,87.5
Doty 3,Week 4,Date: 11/26/24 4:40pm,Recycling,92.5
Doty 3,Week 4,Date: 11/26/24 4:40pm,Compost,85.0
Doty 4,Week 4,Date: 11/26/24 4:40pm,Trash,52.5
Doty 4,Week 4,Date: 11/26/24 4:40pm,Recycling,95.0
Doty 4,Week 4,Date: 11/26/24 4:40pm,Compost,95.0
Doty 5,Week 4,Date: 11/26/24 4:40pm,Trash,100.0
Doty 5,Week 4,Date: 11/26/24 4:40pm,Recycling,92.5
Doty 5,Week 4,Date: 11/26/24 4:40pm,Compost,75.0
Dupre 2,Week 4,Date: 11/26/24 4:40pm,Trash,95.0
Dupre 2,Week 4,Date: 11/26/24 4:40pm,Recycling,95.0
Dupre 2,Week 4,Date: 11/26/24 4:40pm,Compost,100.0
Dupre 3,Week 4,Date: 11/26/24 4:40pm,Trash,100.0
Dupre 3,Week 4,Date: 11/26/24 4:40pm,Recycling,85.0
Dupre 3,Week 4,Date: 11/26/24 4:40pm,Compost,70.0
Dupre 4,Week 4,Date: 11/26/24 4:40pm,Trash,100.0
Dupre 4,Week 4,Date: 11/26/24 4:40pm,Recycling,75.0
Dupre 4,Week 4,Date: 11/26/24 4:40pm,Compost,100.0
Dupre 5,Week 4,Date: 11/26/24 4:40pm,Trash,57.5
Dupre 5,Week 4,Date: 11/26/24 4:40pm,Recycling,62.5
Dupre 5,Week 4,Date: 11/26/24 4:40pm,Compost,100.0
Eco/Lang Houses,Week 4,Date: 11/26/24 4:40pm,Trash,90.0
Eco/Lang Houses,Week 4,Date: 11/26/24 4:40pm,Recycling,81.0
Eco/Lang Houses,Week 4,Date: 11/26/24 4:40pm,Compost,95.0
